make,basemodel,model,fuel_type
Audi,80/90,80/90,Regular
Audi,80/90,80/90 quattro,Regular
Audi,80/90,90,Premium
Audi,80/90,90,Regular
Audi,80/90,90 quattro,Premium
Audi,80/90,90 quattro 20v,Regular
Audi,A3,A3,Diesel
Audi,A3,A3,Premium
Audi,A3,A3,Regular
Audi,A3,A3 Cabriolet,Premium
Audi,A3,A3 Cabriolet,Regular
Audi,A3,A3 Cabriolet quattro,Premium
Audi,A3,A3 Cabriolet quattro,Regular
Audi,A3,A3 e-tron,Premium and Electricity
Audi,A3,A3 e-tron ultra,Premium and Electricity
Audi,A3,A3 quattro,Premium
Audi,A3,A3 quattro,Regular
Audi,A4,A4,Premium
Audi,A4,A4 allroad quattro,Premium
Audi,A4,A4 Avant,Premium
Audi,A4,A4 Avant quattro,Premium
Audi,A4,A4 Cabriolet,Premium
Audi,A4,A4 Cabriolet quattro,Premium
Audi,A4,A4 quattro,Premium
Audi,A4,A4 quattro,Premium or E85
Audi,A4,A4 S line quattro,Premium
Audi,A4,A4 S-Line quattro,Premium
Audi,A4,A4 Ultra,Premium
Audi,A5,A5 Cabriolet,Premium
Audi,A5,A5 Cabriolet quattro,Premium
Audi,A5,A5 Cabriolet quattro,Premium or E85
Audi,A5,A5 Coupe quattro,Premium
Audi,A5,A5 quattro,Premium
Audi,A5,A5 quattro,Premium or E85
Audi,A5,A5 Sportback quattro,Premium
Audi,A5,A5 Sportback S line quattro,Premium
Audi,A5,A5 Sportback S-Line quattro,Premium
Audi,A6,A6,Premium
Audi,A6,A6,Regular
Audi,A6,A6 Allroad,Premium
Audi,A6,A6 Allroad quattro,Premium
Audi,A6,A6 Avant quattro,Premium
Audi,A6,A6 quattro,Diesel
Audi,A6,A6 quattro,Premium
Audi,A6,A6 quattro,Regular
Audi,A6,A6 quattro Wagon,Premium
Audi,A6,A6 quattro Wagon,Regular
Audi,A6,A6 Wagon,Premium
Audi,A6,A6 Wagon,Regular
Audi,A6,A6 Wagon quattro,Premium
Audi,A7,A7,Premium
Audi,A7,A7 quattro,Diesel
Audi,A7,A7 quattro,Premium
Audi,A7,A7 quattro,Premium and Electricity
Audi,A7,A7 TFSI e quattro,Premium and Electricity
Audi,A8,A8,Premium
Audi,A8,A8 L,Diesel
Audi,A8,A8 L,Premium
Audi,A8,A8 L,Premium and Electricity
Audi,A8,A8 L quattro,Premium
Audi,A8,A8 quattro,Premium
Audi,Allroad,Allroad,Premium
Audi,Allroad,allroad quattro,Premium
Audi,Allroad,allroad quattro,Premium or E85
Audi,Cabriolet,Cabriolet,Premium
Audi,Coupe GT,Coupe GT,Regular
Audi,Coupe quattro,Coupe quattro,Regular
Audi,e-tron,e-tron,Electricity
Audi,e-tron,e-tron quattro,Electricity
Audi,e-tron,e-tron Sportback,Electricity
Audi,e-tron,e-tron Sportback quattro,Electricity
Audi,e-tron GT,e-tron GT,Electricity
Audi,e-tron S,e-tron S (20 inch wheels),Electricity
Audi,e-tron S,e-tron S (20in wheels),Electricity
Audi,e-tron S,e-tron S (21/22 inch wheels),Electricity
Audi,e-tron S,e-tron S Sportback (20 inch wheels),Electricity
Audi,e-tron S,e-tron S Sportback (21/22 inch wheels),Electricity
Audi,Q3,Q3,Premium
Audi,Q3,Q3,Regular
Audi,Q3,Q3 quattro,Premium
Audi,Q3,Q3 quattro,Regular
Audi,Q3,Q3 S line quattro,Regular
Audi,Q3,Q3 S-Line,Regular
Audi,Q3,Q3 S-line quattro,Regular
Audi,Q4 e-tron,Q4 40 e-tron,Electricity
Audi,Q4 e-tron,Q4 50 e-tron quattro,Electricity
Audi,Q4 e-tron,Q4 55 e-tron quattro,Electricity
Audi,Q4 e-tron,Q4 e-tron,Electricity
Audi,Q4 e-tron,Q4 e-tron quattro,Electricity
Audi,Q4 e-tron,Q4 e-tron Sportback,Electricity
Audi,Q4 e-tron,Q4 e-tron Sportback quattro,Electricity
Audi,Q4 e-tron,Q4 Sportback 50 e-tron quattro,Electricity
Audi,Q4 e-tron,Q4 Sportback 55 e-tron quattro,Electricity
Audi,Q5,Q5,Diesel
Audi,Q5,Q5,Premium
Audi,Q5,Q5,Premium and Electricity
Audi,Q5,Q5,Premium or E85
Audi,Q5,Q5 Hybrid,Premium
Audi,Q5,Q5 quattro,Premium
Audi,Q5,Q5 S line quattro,Premium
Audi,Q5,Q5 S-Line quattro,Premium
Audi,Q5,Q5 Sportback,Premium
Audi,Q5,Q5 Sportback S line quattro,Premium
Audi,Q5,Q5 Sportback S-line quattro,Premium
Audi,Q5,Q5 TFSI e quattro,Premium and Electricity
Audi,Q7,Q7,Diesel
Audi,Q7,Q7,Premium
Audi,Q7,Q7 quattro,Premium
Audi,Q8,Q8,Premium
Audi,Q8,Q8 quattro,Premium
Audi,Q8 e-tron,Q8 e-tron quattro,Electricity
Audi,Q8 e-tron,Q8 Sportback e-tron quattro,Electricity
Audi,Q8 e-tron,Q8 Sportback e-tron ultra quattro,Electricity
Audi,Quattro,Quattro,Regular
Audi,R8,R8,Premium
Audi,R8,R8 2WD,Premium
Audi,R8,R8 AWD,Premium
Audi,R8,R8 Coupe,Premium
Audi,R8,R8 Coupe quattro,Premium
Audi,R8,R8 Coupe RWD,Premium
Audi,R8,R8 GT RWD,Premium
Audi,R8,R8 RWD,Premium
Audi,R8,R8 Spyder,Premium
Audi,R8,R8 Spyder 2WD,Premium
Audi,R8,R8 Spyder AWD,Premium
Audi,R8,R8 Spyder quattro,Premium
Audi,R8,R8 Spyder RWD,Premium
Audi,R8 Spyder,R8 Spyder,Premium
Audi,RS,RS 3,Premium
Audi,RS,RS 5,Premium
Audi,RS,RS 5 Coupe,Premium
Audi,RS,RS 5 Sportback,Premium
Audi,RS,RS 6 Avant,Premium
Audi,RS,RS 7,Premium
Audi,RS,RS3,Premium
Audi,RS 3,RS 3,Premium
Audi,RS 4,RS4,Premium
Audi,RS 4,RS4 Cabriolet,Premium
Audi,RS 5,RS 5,Premium
Audi,RS 5,RS 5 Cabriolet,Premium
Audi,RS 6,RS6,Premium
Audi,RS 7,RS 7,Premium
Audi,RS e-tron GT,RS e-tron GT,Electricity
Audi,RS Q8,RS Q8,Premium
Audi,S3,S3,Premium
Audi,S4,S4,Premium
Audi,S4,S4,Regular
Audi,S4,S4 Avant,Premium
Audi,S4,S4 Cabriolet,Premium
Audi,S5,S5,Premium
Audi,S5,S5 Cabriolet,Premium
Audi,S5,S5 Coupe,Premium
Audi,S5,S5 Sportback,Premium
Audi,S6,S6,Premium
Audi,S6,S6 Avant,Premium
Audi,S6,S6 Wagon,Premium
Audi,S7,S7,Premium
Audi,S8,S8,Premium
Audi,S8,S8 quattro,Premium
Audi,SQ5,SQ5,Premium
Audi,SQ5,SQ5 Sportback,Premium
Audi,SQ7,SQ7,Premium
Audi,SQ8,SQ8,Premium
Audi,SQ8 e-tron,SQ8 e-tron (20 inch wheels),Electricity
Audi,SQ8 e-tron,SQ8 e-tron (21/22 inch wheels),Electricity
Audi,SQ8 e-tron,SQ8 Sportback e-tron (20 inch wheels),Electricity
Audi,SQ8 e-tron,SQ8 Sportback e-tron (21/22 inch wheels),Electricity
Audi,TT,TT Coupe,Regular
Audi,TT,TT Coupe quattro,Regular
Audi,TT,TT Roadster,Regular
Audi,TT,TT Roadster quattro,Regular
Audi,TT,TT RS,Premium
Audi,TT Coupe,TT Coupe,Premium
Audi,TT Coupe,TT Coupe quattro,Premium
Audi,TT Coupe,TT Coupe quattro,Regular
Audi,TT Coupe,TT RS Coupe,Premium
Audi,TT Roadster,TT Roadster,Premium
Audi,TT Roadster,TT Roadster quattro,Premium
Audi,TT Roadster,TT Roadster quattro,Regular
Audi,TT RS,TT RS,Premium
Audi,TT RS,TT RS Coupe,Premium
Audi,TTS,TTS Coupe,Premium
Audi,TTS Coupe,TTS Coupe,Premium
Audi,TTS Coupe,TTS Coupe quattro,Premium
Audi,V8,V8,Premium
Audi,V8,V8,Regular
Aurora Cars Ltd,Aurora,Aurora,Regular
Autokraft Limited,A.C.MARK IV,A.C.MARK IV,Premium
Autokraft Limited,A.C.Mkiv,A.C.Mkiv,Regular
Avanti Motor Corporation,Avanti II,Avanti II,Regular
Azure Dynamics,Transit Connect Electric Van/Wagon,Transit Connect Electric Van/Wagon,Electricity
Bentley,Arnage,Arnage,Premium
Bentley,Arnage,Arnage LWB,Premium
Bentley,Arnage,Arnage RL,Premium
Bentley,Azure,Azure,Premium
Bentley,Bentayga,Bentayga,Premium
Bentley,Bentayga,Bentayga,Premium and Electricity
Bentley,Bentayga,Bentayga EWB,Premium
Bentley,Bentayga,Bentayga Hybrid,Premium and Electricity
Bentley,Bentayga,Bentayga Speed,Premium
Bentley,Brooklands,Brooklands,Premium
Bentley,Brooklands,Brooklands R,Premium
Bentley,Brooklands,Brooklands R Limo,Premium
Bentley,Continental,Continental GT,Premium
Bentley,Continental,Continental GT,Premium or E85
Bentley,Continental,Continental GT Convertible,Premium
Bentley,Continental,Continental GT Convertible Speed,Premium
